change_gdp;change_age;GDP1990;Pop1990;Age1990;Region_LAC;Region_EAS;Region_SAS;Region_AFR;Region_MNA;Region_ECA;Region_DEV;birthrate1960_1965;birthrate1965_1970;birthrate1970_1975;birthrate1975_1980;birthrate1980_1985;birthrate1985_1990
0.88264;0.39345;8.3242;1.1883;0.37177;0;0;0;0;0;1;0;39.301;33.688;30.392;27.727;26.399;25.921
0.28048;0.08331;9.2475;3.2547;0.2837;0;0;0;0;1;0;0;49.455;47.485;46.587;45.005;40.783;35.204
0.37074;-0.018771;8.681;2.4095;0.26502;0;0;0;1;0;0;0;53.82;53.002;53.002;53.458;53.221;52.906
0.17254;0.11331;9.7424;-2.7821;0.3794;1;0;0;0;0;0;0;32.081;31.236;26.932;19.35;19.161;18.795
0.63989;0.02828;9.2736;3.4883;0.56233;1;0;0;0;0;0;0;23.179;22.544;23.39;25.653;23.129;22.211
0.74063;0.23138;8.4274;1.2655;0.47777;0;0;0;0;0;1;0;34.894;24.579;22.535;22.063;22.892;23.235
0.0063673;0.46736;10.489;-2.7782;0.42938;1;0;0;0;0;0;0;32.916;26.252;22.9;22.499;22.29;20.79
0.44124;0.25212;10.328;2.8389;0.54045;0;0;0;0;0;0;1;21.412;19.939;19.114;15.804;15.499;15.051
0.35027;0.2504;10.285;2.0421;0.6961;0;0;0;0;0;0;1;18.608;17.249;13.702;11.49;11.758;11.214
0.64411;0.10413;9.1081;1.9764;0.38419;0;0;0;0;0;1;0;41.275;32.385;26.835;25.172;25.63;27.266
-0.049729;0.23932;10.046;-1.3613;0.2946;1;0;0;0;0;0;0;33.592;26.31;27.147;24.92;27.135;24.066
0.13138;0.053985;10.46;-0.70129;0.15948;0;0;0;0;1;0;0;45.593;41.519;35.152;33.004;32.969;31.402
0.85726;0.018787;7.2142;4.6633;0.29984;0;0;1;0;0;0;0;49.085;48.545;46.841;44.647;42.163;37.844
0.12518;0.40612;9.2508;-1.3456;0.43968;1;0;0;0;0;0;0;29.146;23.5;20.473;18.001;17.632;16.493
0.76028;0.12859;9.0752;2.3255;0.70343;0;0;0;0;0;1;0;22.391;17.436;15.77;15.638;16.589;15.309
0.29544;0.22918;10.249;2.3004;0.73822;0;0;0;0;0;0;1;17.158;15.33;13.648;12.347;12.095;11.896
0.37037;-0.0070243;8.5604;-1.6737;0.30717;1;0;0;0;0;0;0;43.655;42.185;41.953;42.387;39.874;37.23
0.32322;-0.035065;7.2872;1.6097;0.3005;0;0;0;1;0;0;0;45.329;46.506;46.852;47.178;47.175;46.8
1.2098;-0.016963;7.8095;-0.62455;0.30841;0;0;1;0;0;0;0;49.925;49.191;47.831;45.964;42.632;40.635
0.53422;0.054856;8.1691;1.9252;0.33575;1;0;0;0;0;0;0;43.904;42.769;41.817;41.151;39.229;36.56
1.713;0.40008;7.4181;1.5101;0.48852;0;0;0;0;0;1;0;30.273;25.237;22.382;18.545;18.614;16.367
0.64044;0.015958;8.9799;0.32195;0.24444;0;0;0;1;0;0;0;46.588;46.088;45.452;45;42.496;37.269
0.38608;0.18454;9.2365;5.0133;0.30494;1;0;0;0;0;0;0;42.34;37.153;33.88;32.856;30.931;26.394
-0.1277;0.17684;11.359;-1.3589;0.17862;0;1;0;0;0;0;0;41.881;35.084;37.782;35.558;31.396;32.022
0.46278;0.21699;9.2121;2.1771;0.7792;0;0;0;0;0;1;0;16.73;15.833;16.082;15.854;13.928;13.121
0.62781;-0.068497;6.659;2.176;0.30257;0;0;0;1;0;0;0;47.151;47.546;47.52;48.834;48.99;47.793
0.24302;-0.01169;6.4491;1.7251;0.26707;0;0;0;1;0;0;0;48.194;47.758;47.428;49.925;51.213;51.441
0.83161;-0.09961;7.9181;-1.0751;0.40278;0;0;0;1;0;0;0;47.02;43.154;40.638;40.61;42.105;42.202
1.1747;0.040518;6.8091;2.1982;0.28489;0;1;0;0;0;0;0;45.951;44.105;42.06;40.639;50.617;46.2
0.054359;-0.074696;7.8483;2.4908;0.32858;0;0;0;1;0;0;0;43.67;44.769;45.17;45.341;46.36;45.606
0.31082;0.40214;10.371;3.3201;0.51863;0;0;0;0;0;0;1;24.78;18.452;15.625;14.998;14.577;14.075
-0.53876;-0.063941;6.8845;1.0777;0.35388;0;0;0;1;0;0;0;43.813;43.492;42.742;42.209;42.381;41.906
0.72615;-0.065216;6.8559;1.7847;0.30886;0;0;0;1;0;0;0;45.608;45.88;48.056;49.401;49.997;50.583
0.89339;0.24893;9.0764;2.5758;0.37832;1;0;0;0;0;0;0;34.951;32.069;27.075;23.779;22.702;22.678
1.69;0.22821;7.7454;7.0515;0.34816;0;1;0;0;0;0;0;39.738;39.905;32.172;22.608;21.389;25.197
0.52468;0.19466;8.9531;3.5343;0.2716;1;0;0;0;0;0;0;44.206;41.054;34.173;32.517;30.669;27.714
-0.088966;-0.025304;7.4088;-0.87913;0.28647;0;0;0;1;0;0;0;48.009;46.706;45.874;46.707;46.855;44.468
0.1324;-0.028028;8.6065;0.86981;0.31912;0;0;0;1;0;0;0;42.753;43.12;43.469;43.051;40.897;38.907
0.66581;0.21248;8.8419;1.1301;0.31854;1;0;0;0;0;0;0;43.14;36.634;29.947;29.616;29.529;27.99
0.16488;0.31494;9.7036;1.5637;0.72369;0;0;0;0;0;1;0;17.112;14.949;14.968;14.475;14.088;12.496
0.21615;0.14007;9.8496;-0.54576;0.50658;0;0;0;0;0;0;1;24.81;20.117;18.821;18.936;20.639;19.56
0.36581;0.2169;9.832;2.3344;0.65827;0;0;0;0;0;1;0;14.545;14.345;17.373;17.846;13.62;12.692
0.0073188;-0.010858;7.9932;2.4986;0.28994;0;0;0;1;0;0;0;54.327;53.491;51.876;49.883;46.361;43.853
-0.5742;-0.016436;7.2425;3.5543;0.28882;0;0;0;1;0;0;0;46.841;46.839;46.437;46.332;47.028;47.596
0.25989;0.28511;10.419;1.6371;0.68841;0;0;0;0;0;0;1;17.342;16.144;14.43;12.295;10.36;11.272
0.36889;0.045906;7.6046;-0.53042;0.25274;0;0;0;0;1;0;0;44.226;44.933;44.755;42.007;39.696;40.139
0.86404;0.12003;8.6079;1.9718;0.31309;1;0;0;0;0;0;0;49.59;44.305;39.414;35.543;33.406;30.91
0.40849;0.12383;8.8892;2.3242;0.30263;1;0;0;0;0;0;0;43.646;42.234;39.554;36.168;33.469;31.379
0.58531;-0.0075197;8.6932;4.0324;0.37556;0;0;0;0;1;0;0;44.936;41.823;38.923;38.965;39.013;36.63
0.5641;0.11386;8.4126;1.6586;0.35524;1;0;0;0;0;0;0;46.728;43.982;41.702;39.203;35.398;32.203
2.9947;0.073698;7.5891;-0.97455;0.28619;0;0;0;1;0;0;0;40.146;40.665;36.791;32.915;41.625;47.169
0.60234;0.24594;9.5;0.44809;0.71283;0;0;0;0;0;1;0;15.513;15.056;15.66;15.117;15.287;15.64
0.80124;-0.02702;6.4897;3.8724;0.30158;0;0;0;1;0;0;0;47.99;47.619;48.581;48.524;49.286;48.283
0.29484;0.19943;8.6512;-0.31659;0.25639;0;1;0;0;0;0;0;42.295;35.83;33.049;33.743;33.084;29.75
0.29533;0.44702;10.216;1.6068;0.63995;0;0;0;0;0;0;1;18.229;15.927;12.922;13.545;13.345;12.565
0.23488;0.33371;10.272;4.0676;0.69016;0;0;0;0;0;0;1;18.135;17.042;16.015;13.771;14.06;13.571
-0.096429;-0.16192;9.8889;-0.048908;0.4934;0;0;0;1;0;0;0;34.332;36.672;37.209;37.833;38.274;37.733
0.045087;0.007829;7.397;-0.086854;0.22328;0;0;0;1;0;0;0;49.7;49.837;50.859;51.603;50.015;48.155
0.14742;0.098734;9.1321;1.6975;0.66332;0;0;0;0;0;1;0;24.567;19.428;19.403;18.829;18.428;17.99
0.3231;0.38553;10.37;4.3689;0.75018;0;0;0;0;0;0;1;17.639;16.046;11.369;10.326;10.677;10.938
0.70287;0.0061359;7.5207;2.683;0.27129;0;0;0;1;0;0;0;47.258;47.25;45.865;44.023;42.258;40.137
0.13526;0.19111;9.8769;2.3157;0.81081;0;0;0;0;0;0;1;18.152;17.538;15.658;15.754;13.516;10.843
0.47647;-0.084335;8.8089;-2.3404;0.51865;1;0;0;0;0;0;0;40.963;28.949;29.139;29.843;32.515;31.563
0.32089;-0.0016629;8.5264;2.2147;0.31647;1;0;0;0;0;0;0;46.013;44.814;44.255;43.961;42.9;39.159
0.032384;-0.029015;7.1654;1.7974;0.32251;0;0;0;1;0;0;0;45.603;45.028;45.824;46.882;47.356;47.002
-0.0070984;-0.041462;7.2027;0.054685;0.3254;0;0;0;1;0;0;0;42.043;42.251;43.637;45.08;47.515;46.215
-0.23759;-0.010648;7.7007;1.9601;0.3376;1;0;0;0;0;0;0;43.556;40.726;38.189;39.994;42.759;39.074
0.37914;0.032623;8.0696;1.5899;0.2838;1;0;0;0;0;0;0;49.47;48.417;45.905;44.468;42.283;39.475
0.68453;0.44112;10.066;1.7568;0.4431;0;1;0;0;0;0;0;34.61;22.098;20.427;17.301;15.4;13.08
0.33274;0.13578;9.6618;2.3404;0.73766;0;0;0;0;0;1;0;13.463;14.547;15.547;15.95;12.65;12.251
0.36284;0.26391;10.197;-1.3672;0.52028;0;0;0;0;0;0;1;25.913;22.086;20.971;19.119;18.041;17.222
1.1223;0.075928;7.4964;6.7692;0.32436;0;0;1;0;0;0;0;41.49;39.852;38.422;36.6;35.485;32.974
0.81097;0.073178;8.4003;5.205;0.32043;0;1;0;0;0;0;0;43.596;41.496;38.25;34.928;31.734;27.458
0.48398;0.010595;9.2317;4.0284;0.31313;0;0;0;0;1;0;0;46.372;43.513;41.33;42.652;44.59;38.245
0.20667;-0.072264;9.1739;2.861;0.32096;0;0;0;0;1;0;0;43.652;46.736;43.711;41.205;38.988;38.282
0.81895;0.15627;10.042;1.2706;0.56534;0;0;0;0;0;0;1;22.172;21.087;23.725;22.028;19.548;15.605
0.47582;0.14643;9.849;1.5039;0.49373;0;0;0;0;0;0;1;25.542;25.347;27.443;26.245;23.735;22.686
0.10255;0.36781;10.312;4.0432;0.76286;0;0;0;0;0;0;1;18.604;17.845;16.202;13.161;10.923;10.015
0.065414;0.10389;8.8033;0.86954;0.41203;1;0;0;0;0;0;0;41.539;38.744;32.683;29.194;28.942;26.615
0.17973;0.51894;10.318;4.8061;0.6978;0;0;0;0;0;0;1;17.152;17.831;19.004;15.179;12.819;11.218
0.38962;-0.038514;8.9624;1.2115;0.30344;0;0;0;0;1;0;0;53.506;52.134;48.876;42.701;39.682;35.31
0.6005;0.040971;9.4666;2.8052;0.44756;0;0;0;0;0;1;0;33.852;26.247;24.923;23.911;24.977;25.576
0.17137;-0.01557;7.806;3.1547;0.25626;0;0;0;1;0;0;0;51;50.594;50.801;49.933;48.387;45.104
0.57904;-0.00051036;10.586;0.72214;0.17715;0;0;0;0;1;0;0;43.683;48.875;48.086;40.656;36.256;25.273
-0.096498;-0.049467;8.5092;1.4804;0.41988;0;0;0;0;0;1;0;38.193;32.109;29.719;27.754;31.746;32.446
1.139;-0.028955;7.4269;1.4464;0.32053;0;1;0;0;0;0;0;42.942;42.836;43.053;42.635;42.822;43.148
0.36582;0.27665;9.5848;0.97982;0.72084;0;0;0;0;0;1;0;15.079;13.648;14.478;13.741;15.029;15.456
0.57266;0.017811;8.998;0.99437;0.44131;0;0;0;0;1;0;0;37.242;33.682;31.353;30.433;28.837;25.913
0.67735;-0.11386;7.1739;0.46846;0.37323;0;0;0;1;0;0;0;42.252;42.472;42.684;41.907;39.795;36.668
0.50805;-0.027099;6.3488;0.74331;0.30265;0;0;0;1;0;0;0;49.194;48.96;49.15;48.963;48.456;46.698
0.50654;0.36949;9.5628;1.3076;0.65477;0;0;0;0;0;1;0;20.256;17.842;16.82;15.508;15.578;15.812
0.48114;0.067724;10.422;-0.96289;0.66864;0;0;0;0;0;0;1;16.418;14.53;11.794;10.991;11.519;11.778
1.2825;0.31273;10.567;-1.0224;0.2957;0;1;0;0;0;0;0;25.051;13.828;9.969;10.211;19.894;21.873
-0.18893;-0.016908;7.3984;2.4463;0.28631;0;0;0;1;0;0;0;48.411;48.081;48.544;47.426;42.532;45.166
0.29429;-0.0013817;6.742;2.2417;0.24496;0;0;0;1;0;0;0;52.554;53.72;53.629;53.438;52.385;51.5
0.85147;0.11512;9.1353;2.902;0.27903;0;1;0;0;0;0;0;39.45;34.239;31.442;29.435;29.467;28.704
1.2562;-0.062138;8.6145;-1.4998;0.3563;0;0;1;0;0;0;0;54.671;52.373;48.171;44.769;48.405;45.167
0.36437;-0.10671;6.9468;2.138;0.34451;0;0;0;1;0;0;0;50.102;50.261;50.366;49.943;49.36;48.664
0.66495;0.42815;9.4926;-1.0336;0.54122;0;0;0;0;0;0;1;21.416;15.51;16.739;18.902;17.098;16.762
0.3209;-0.0068281;7.8201;0.70491;0.28973;0;0;0;1;0;0;0;48.448;46.799;45.44;43.94;42.178;41.198
0.85307;0.33054;8.9435;0.05436;0.30843;0;0;0;1;0;0;0;43.761;33.217;26.843;26.513;20.305;21.007
0.26258;0.092175;9.4018;4.4498;0.31155;1;0;0;0;0;0;0;44.594;43.603;43.714;37.18;32.279;29.793
-0.29471;0.101;8.9168;1.4734;0.55241;0;0;0;0;0;1;0;25.554;20.348;19.765;20.296;21.639;21.099
0.79763;-0.011131;8.6077;0.78122;0.32434;0;1;0;0;0;0;0;47.996;44.873;43.122;39.647;38.166;36.319
0.10796;0.27013;9.5776;-0.48613;0.55189;0;0;0;0;0;1;0;27.898;22.887;20.628;18.731;18.588;17.178
0.55871;0.10346;8.3847;3.2169;0.33888;0;0;0;0;1;0;0;50.028;45.354;40.928;38.614;36.693;31.395
1.0554;-0.043234;5.898;2.5932;0.33446;0;0;0;1;0;0;0;48.636;48.001;47.252;47.949;47.27;45.247
1.8668;0.085686;6.608;3.7378;0.32554;0;1;0;0;0;0;0;42.76;40.848;38.707;36.802;34.456;29.094
0.49553;-0.011646;8.5907;0.34745;0.28611;0;0;0;1;0;0;0;42.31;42.426;44.204;43.766;41.186;39.116
0.64572;0.069758;7.1489;2.9308;0.32102;0;0;1;0;0;0;0;44.055;43.134;42.537;42.281;41.247;39.609
0.34314;0.43577;10.346;2.7024;0.58042;0;0;0;0;0;0;1;21.11;19.167;15.335;12.624;12.225;12.685
0.36888;0.32125;10.064;1.223;0.54644;0;0;0;0;0;0;1;25.759;22.703;20.995;16.993;15.858;16.61
0.44069;0.054649;8.0049;1.4218;0.28422;1;0;0;0;0;0;0;48.47;46.216;46.176;45.155;42.892;38.294
0.068229;0.053237;6.7183;2.0684;0.25944;0;0;0;1;0;0;0;57.67;55.813;55.877;55.494;54.559;55.024
0.62999;-0.0306;7.9893;4.5604;0.29719;0;0;0;1;0;0;0;46.149;45.709;46.795;47.096;46.217;44.765
0.39041;0.1402;10.928;1.4447;0.6872;0;0;0;0;0;0;1;17.415;17.034;15.226;12.886;12.3;13.311
0.04876;-0.048998;10.511;0.59452;0.20659;0;0;0;0;1;0;0;49.116;48.569;48.001;50.119;48.221;42.931
0.41329;-0.015098;8.0574;4.6785;0.33603;0;0;1;0;0;0;0;44.266;43.67;42.587;42.297;42.115;41.966
0.93032;0.14574;8.9586;0.90463;0.31952;1;0;0;0;0;0;0;40.873;38.787;36.161;32.509;29.507;27.323
0.42846;0.081176;8.6004;1.4384;0.30573;1;0;0;0;0;0;0;41.161;39.386;35.583;36.112;36.723;34.973
0.7756;0.11007;8.5363;3.0831;0.30921;1;0;0;0;0;0;0;46.731;44.273;40.417;38.25;34.021;31.648
0.50749;0.10868;8.3133;4.1263;0.2523;0;1;0;0;0;0;0;43.008;40.39;38.265;37.365;35.693;34.108
0.84569;0.24832;9.2059;3.6427;0.59563;0;0;0;0;0;1;0;19.627;16.57;17.452;18.989;19.3;16.246
0.24562;0.28924;9.8578;2.2916;0.74884;0;0;0;0;0;0;1;23.812;22.24;19.743;18.028;14.641;12.03
0.65118;-0.011793;11.352;-0.74133;0.12673;0;0;0;0;1;0;0;40.804;38.412;34.602;35.622;33.252;24.92
1.0709;0.41745;9.3789;3.7606;0.33677;0;1;0;0;0;0;0;39.907;32.901;30.349;23.095;20.401;15.49
0.56079;0.19718;9.282;3.1565;0.68919;0;0;0;0;0;1;0;16.466;21.487;19.98;19.194;16.222;15.837
0.19768;0.12336;9.9029;4.9943;0.68287;0;0;0;0;0;1;0;21.123;14.973;15.371;15.77;16.739;16.178
0.67456;0.012522;6.7297;1.9823;0.24643;0;0;0;1;0;0;0;50.699;49.255;51.128;53.385;53.142;50.86
0.13941;0.081065;9.0561;-1.9792;0.44434;1;0;0;0;0;0;0;45.93;41.172;37.073;37.391;33.339;30.194
0.33642;-0.18467;7.7927;-2.1753;0.43274;0;0;0;1;0;0;0;46.921;42.446;40.38;40.924;40.478;39.882
0.15716;0.059752;10.675;2.7949;0.19646;0;0;0;0;1;0;0;47.582;46.992;46.355;44.03;42.524;37.891
0.17254;-0.067036;7.5153;2.0168;0.31593;0;0;0;1;0;0;0;50.281;50.086;50.4;49.515;47.101;44.751
-0.12753;0.26488;9.5698;2.0666;0.65316;0;0;0;0;0;1;0;19.549;18.717;18.778;18.679;17.436;15.999
0.61813;0.074565;9.5556;-2.6503;0.42106;0;0;0;1;0;0;0;38.452;36.436;33.26;29.304;26.674;24.31
0.039679;-0.074061;7.5849;1.3689;0.32606;0;0;0;1;0;0;0;46.045;45.873;46;46.373;46.714;46.711
0.81645;0.46823;10.26;1.1041;0.29392;0;1;0;0;0;0;0;33.555;25.244;22.143;16.938;17.004;17.777
0.61441;0.18668;9.4582;1.6635;0.57047;0;0;0;0;0;1;0;20.398;18.033;19.253;20.205;18.2;16.192
0.41104;0.36625;9.7434;0.6964;0.61145;0;0;0;0;0;1;0;17.826;17.013;16.75;16.768;14.992;12.718
0.22853;0.070739;9.1769;3.6053;0.27845;0;0;0;1;0;0;0;41.017;38.197;37.698;35.784;33.913;31.127
0.28869;0.2231;10.052;3.6685;0.70531;0;0;0;0;0;0;1;21.169;19.986;19.39;17.528;13.435;10.928
1.1256;0.25156;8.158;2.8525;0.3547;0;0;1;0;0;0;0;35.12;32.589;28.828;27.772;25.82;21.871
0.53221;0.011961;7.9535;0.74249;0.2327;0;0;0;0;1;0;0;52.052;51.442;48.667;47.207;44.877;45.097
0.41297;0.13893;9.1097;-0.89581;0.34461;1;0;0;0;0;0;0;44.581;39.365;34.557;29.706;29.358;28.671
0.30512;-0.02462;8.6535;-0.14766;0.28187;0;0;0;1;0;0;0;47.87;48.936;49.298;48.431;47.68;46.1
0.35278;0.16583;10.302;2.147;0.77878;0;0;0;0;0;0;1;14.85;14.785;13.518;11.701;11.325;12.968
0.16167;0.2326;10.83;1.8982;0.67327;0;0;0;0;0;0;1;18.939;17.629;14.312;11.691;11.621;11.895
0.045784;0.074311;8.205;2.5218;0.27252;0;0;0;0;1;0;0;47.305;45.822;45.973;45.354;42.826;38.443
0.32315;0.22752;9.0653;0.69126;0.4857;0;0;0;0;0;1;0;28.367;27.028;23.357;21.553;20.747;18.69
-0.40534;-0.061842;8.5898;1.6672;0.35561;0;0;0;0;0;1;0;44.731;41.911;40.816;38.333;40.714;42.109
0.8302;0.32808;8.7614;4.0357;0.33145;0;1;0;0;0;0;0;42.235;40.399;34.702;29.019;24.197;20.462
-0.11191;-0.042977;7.3098;1.3316;0.28988;0;0;0;1;0;0;0;47.729;48.091;48.252;47.703;46.135;43.993
0.9264;0.24533;9.4087;0.20041;0.35255;1;0;0;0;0;0;0;35.94;27.924;26.904;27.454;28.911;23.645
0.65856;0.10448;8.6457;2.1081;0.38338;0;0;0;0;1;0;0;45.191;43.209;39.125;36.508;33.13;29.038
0.55299;0.10322;9.2784;3.9889;0.3667;0;0;0;0;0;1;0;44.134;40.869;39.709;36.708;33.357;28.042
0.56942;0.014148;9.4047;1.2996;0.32514;0;0;0;0;0;1;0;44.879;38.243;36.665;34.37;35.339;36.403
0.83684;-0.052566;6.7247;2.8556;0.26576;0;0;0;1;0;0;0;49.272;48.992;48.666;48.885;49.254;49.597
-0.30341;0.087816;9.4882;3.9391;0.77034;0;0;0;0;0;1;0;17.881;15.189;15.477;15.131;15.004;13.416
-0.49863;0.039798;11.703;0.59413;0.1041;0;0;0;0;1;0;0;45.458;41.161;32.441;28.77;30.215;28.257
0.36104;0.16966;10.145;4.045;0.73153;0;0;0;0;0;0;1;18.295;16.914;13.532;11.982;12.802;13.742
0.58985;-0.0034318;7.2096;3.21;0.2671;0;0;0;1;0;0;0;49.128;48.724;47.92;47.349;45.98;44.864
0.34524;0.3089;10.506;5.5328;0.56004;0;0;0;0;0;0;1;22.185;17.962;15.601;14.815;15.406;15.737
0.67822;0.058329;9.1819;1.1346;0.69294;1;0;0;0;0;0;0;21.901;20.467;21.124;20.227;18.339;18.233
0.61547;0.015917;8.4814;3.0212;0.34332;0;0;0;0;0;1;0;36.037;33.654;33.46;34.061;35.504;35.809
0.14771;0.15224;9.6213;2.9888;0.27948;1;0;0;0;0;0;0;46.216;40.578;34.824;33.452;31.785;30.526
1.3066;0.066905;7.2948;4.2226;0.36917;0;1;0;0;0;0;0;40.619;37.36;35.561;32.894;31.445;29.793
0.27083;-0.019583;8.0177;2.4817;0.26249;0;0;0;0;1;0;0;50.723;52.963;53.355;55.1;54.698;53.426
0.45091;-0.047709;7.7143;2.0972;0.26785;0;0;0;1;0;0;0;49.714;50.333;49.708;49.082;47.06;47.129
0.17466;-0.055996;7.2564;2.3499;0.25902;0;0;0;1;0;0;0;48.22;47.489;47.604;47.615;44.935;39.534
